sample_ids	img_paths	extra_class_labels	early
T_1	ALY-2_SYS721_t1.tif	1	'1'
T_2	ALY-2_SYS721_t2.tif	2	'1'
T_3	ALY-2_SYS721_t3.tif	3	'1'
T_4	ALY-2_SYS721_t4.tif	4	'1'
T_5	ALY-2_SYS721_t5.tif	5	'1'
T_6	ALY-2_SYS721_t6.tif	6	'1'
T_7	ALY-2_SYS721_t7.tif	7	'1'
T_8	ALY-2_SYS721_t8.tif	8	'1'
T_9	ALY-2_SYS721_t9.tif	9	'1'
T_10	ALY-2_SYS721_t10.tif	10	'1'
T_11	ALY-2_SYS721_t11.tif	11	'1'
T_12	ALY-2_SYS721_t12.tif	12	'1'
T_13	ALY-2_SYS721_t13.tif	13	'1'
T_14	ALY-2_SYS721_t14.tif	14	'1'
T_15	ALY-2_SYS721_t15.tif	15	'1'
T_16	ALY-2_SYS721_t16.tif	16	'1'
T_17	ALY-2_SYS721_t17.tif	17	'1'
T_18	ALY-2_SYS721_t18.tif	18	'1'
T_19	ALY-2_SYS721_t19.tif	19	'1'
T_20	ALY-2_SYS721_t20.tif	20	'1'
T_21	ALY-2_SYS721_t21.tif	21	'1'
T_22	ALY-2_SYS721_t22.tif	22	'1'
T_23	ALY-2_SYS721_t23.tif	23	'1'
T_24	ALY-2_SYS721_t24.tif	24	'1'
T_25	ALY-2_SYS721_t25.tif	25	'1'
T_26	ALY-2_SYS721_t26.tif	26	'1'
T_27	ALY-2_SYS721_t27.tif	27	'1'
T_28	ALY-2_SYS721_t28.tif	28	'1'
T_29	ALY-2_SYS721_t29.tif	29	'1'
T_30	ALY-2_SYS721_t30.tif	30	'1'
T_31	ALY-2_SYS721_t31.tif	31	'1'
T_32	ALY-2_SYS721_t32.tif	32	'1'
T_33	ALY-2_SYS721_t33.tif	33	'1'
T_34	ALY-2_SYS721_t34.tif	34	'1'
T_35	ALY-2_SYS721_t35.tif	35	'1'
T_36	ALY-2_SYS721_t36.tif	36	'1'
T_37	ALY-2_SYS721_t37.tif	37	'1'
T_38	ALY-2_SYS721_t38.tif	38	'1'
T_39	ALY-2_SYS721_t39.tif	39	'1'
T_40	ALY-2_SYS721_t40.tif	40	'1'
T_41	ALY-2_SYS721_t41.tif	41	'0'
T_42	ALY-2_SYS721_t42.tif	42	'0'
T_43	ALY-2_SYS721_t43.tif	43	'0'
T_44	ALY-2_SYS721_t44.tif	44	'0'
T_45	ALY-2_SYS721_t45.tif	45	'0'
T_46	ALY-2_SYS721_t46.tif	46	'0'
T_47	ALY-2_SYS721_t47.tif	47	'0'
T_48	ALY-2_SYS721_t48.tif	48	'0'
T_49	ALY-2_SYS721_t49.tif	49	'0'
T_50	ALY-2_SYS721_t50.tif	50	'0'
T_51	ALY-2_SYS721_t51.tif	51	'0'
T_52	ALY-2_SYS721_t52.tif	52	'0'
T_53	ALY-2_SYS721_t53.tif	53	'0'
T_54	ALY-2_SYS721_t54.tif	54	'0'
T_55	ALY-2_SYS721_t55.tif	55	'0'
T_56	ALY-2_SYS721_t56.tif	56	'0'
T_57	ALY-2_SYS721_t57.tif	57	'0'
T_58	ALY-2_SYS721_t58.tif	58	'0'
T_59	ALY-2_SYS721_t59.tif	59	'0'
T_60	ALY-2_SYS721_t60.tif	60	'0'
T_61	ALY-2_SYS721_t61.tif	61	'0'
T_62	ALY-2_SYS721_t62.tif	62	'0'
T_63	ALY-2_SYS721_t63.tif	63	'0'
T_64	ALY-2_SYS721_t64.tif	64	'0'
T_65	ALY-2_SYS721_t65.tif	65	'0'
T_66	ALY-2_SYS721_t66.tif	66	'0'
T_67	ALY-2_SYS721_t67.tif	67	'0'
T_68	ALY-2_SYS721_t68.tif	68	'0'
T_69	ALY-2_SYS721_t69.tif	69	'0'
