Gene stable ID	Gene stable ID version	Karyotype band	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC symbol	NCBI gene (formerly Entrezgene) ID
ENSG00000198888	ENSG00000198888.2		MT	3307	4262	MT-ND1	4535
ENSG00000198763	ENSG00000198763.3		MT	4470	5511	MT-ND2	4536
ENSG00000198804	ENSG00000198804.2		MT	5904	7445	MT-CO1	4512
ENSG00000210151	ENSG00000210151.2		MT	7446	7514	MT-TS1	113219467
ENSG00000198712	ENSG00000198712.1		MT	7586	8269	MT-CO2	4513
ENSG00000228253	ENSG00000228253.1		MT	8366	8572	MT-ATP8	4509
ENSG00000198899	ENSG00000198899.2		MT	8527	9207	MT-ATP6	4508
ENSG00000198938	ENSG00000198938.2		MT	9207	9990	MT-CO3	4514
ENSG00000198840	ENSG00000198840.2		MT	10059	10404	MT-ND3	4537
ENSG00000212907	ENSG00000212907.2		MT	10470	10766	MT-ND4L	4539
ENSG00000198886	ENSG00000198886.2		MT	10760	12137	MT-ND4	4538
ENSG00000198786	ENSG00000198786.2		MT	12337	14148	MT-ND5	4540
ENSG00000198695	ENSG00000198695.2		MT	14149	14673	MT-ND6	4541
ENSG00000198727	ENSG00000198727.2		MT	14747	15887	MT-CYB	4519
ENSG00000277630	ENSG00000277630.4		GL000213.1	108007	139659		100288966
ENSG00000271254	ENSG00000271254.7		KI270711.1	4612	29626		124905564
ENSG00000278625	ENSG00000278625.1		KI270744.1	51009	51114		124905334
ENSG00000277400	ENSG00000277400.1		GL000194.1	53590	115018		128966690
ENSG00000274847	ENSG00000274847.1		GL000194.1	53594	115055	MAFIP	727764
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908527
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908525
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908524
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908523
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908522
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908521
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908520
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908519
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908518
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908517
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908516
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908515
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908514
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908513
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908512
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908504
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908494
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908474
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908393
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908392
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908391
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908390
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908389
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908388
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908387
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908386
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908385
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908384
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908383
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908382
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908381
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908380
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908379
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908378
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908377
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908376
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908375
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908374
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908373
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908372
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908371
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908370
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908369
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908368
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908358
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908347
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908336
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908327
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908316
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908310
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908300
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908289
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908278
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908268
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908257
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908249
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908248
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908247
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908246
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908245
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908244
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908243
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908242
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908241
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908240
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908239
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908238
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124908237
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907721
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907720
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907719
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907718
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907717
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907716
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907715
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907714
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907713
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907712
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907711
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907710
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907709
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907705
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907694
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907684
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907673
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907662
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907655
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907644
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907633
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907622
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907611
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907600
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907598
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907597
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907596
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907595
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907594
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907593
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907592
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907591
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907590
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907589
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907588
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907587
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907586
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907585
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907584
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907581
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907580
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907579
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907578
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907577
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907576
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907575
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907574
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907573
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907572
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907484
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907483
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907482
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907481
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907480
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907479
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907478
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907477
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907476
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907475
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907467
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907458
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907450
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907440
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907439
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907343
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907342
